anonymizer,params,n_samples,closed_set_top1,verification_auc,adaptive_acc,privacy_score,acc_original,acc_anonymized,acc_delta,expr_consistency,expr_match_rate,utility_score,fid,lpips_mean,psnr_mean,ssim_mean
k_same,"{""k"": 10}",50,0.04,0.0,0.0,0.96,0.26,0.14,-0.12,0.0,0.3,0.05600000000000001,-1.0,0.4950578212738037,12.743320275244049,0.5308627804873133
k_same,"{""k"": 2}",50,0.44,0.0,0.0,0.56,0.26,0.22,-0.04000000000000001,0.0,0.36,0.08800000000000001,-1.0,0.31682896614074707,15.053984911566019,0.683404301869187
k_same,"{""k"": 20}",50,0.06,0.0,0.0,0.94,0.26,0.2,-0.06,0.0,0.26,0.08000000000000002,-1.0,0.5298669934272766,12.707306133434688,0.5330676001028142
k_same,"{""k"": 5}",50,0.06,0.0,0.0,0.94,0.26,0.18,-0.08000000000000002,0.0,0.22,0.072,-1.0,0.44704264402389526,13.212404425012501,0.552366814350171
k_same,"{""k"": 50}",50,1.0,0.0,0.0,0.0,0.26,0.26,0.0,1.0,1.0,0.704,-1.0,0.0,inf,1.0
